id_colaborador,matricula,nome_colaborador,sexo,data_nascimento,data_admissao,data_desligamento,status_colaborador,tipo_desligamento,id_area,id_cargo,id_gestor,id_unidade
1,MAT00001,Brenda Alves,Masculino,1998-01-24,2025-03-04,,Ativo,,2,4,36,4
2,MAT00002,Sra. Isabelly Câmara,Masculino,1997-12-04,2020-07-03,2024-07-17,Desligado,Involuntário,1,1,70,2
3,MAT00003,Cauã Rocha,Masculino,1978-01-01,2024-08-15,,Ativo,,5,3,12,4
4,MAT00004,Dra. Aurora Pastor,Feminino,1973-10-01,2020-08-10,2024-01-01,Desligado,Voluntário,1,1,26,12
5,MAT00005,Ana Beatriz Alves,Feminino,1971-07-08,2025-04-15,,Ativo,,3,3,58,10
6,MAT00006,Henrique da Conceição,Masculino,2005-03-23,2021-02-13,,Ativo,,2,2,55,6
7,MAT00007,Amanda Novais,Feminino,1996-04-25,2021-02-12,,Ativo,,1,2,44,2
8,MAT00008,Yago Leão,Masculino,1981-02-12,2019-01-15,2023-02-21,Desligado,Involuntário,4,2,78,5
9,MAT00009,Pietro Pastor,Masculino,1976-09-04,2018-06-27,,Ativo,,6,3,49,2
10,MAT00010,André Teixeira,Feminino,1987-11-20,2024-03-11,,Ativo,,3,2,47,10
11,MAT00011,Otávio Fernandes,Feminino,2001-01-22,2020-02-27,,Ativo,,7,2,30,13
12,MAT00012,Eduardo Cunha,Masculino,2000-04-28,2021-03-31,,Ativo,,3,4,13,7
13,MAT00013,Sr. Caleb Garcia,Masculino,1976-11-27,2021-02-12,,Ativo,,6,7,47,3
14,MAT00014,Luiz Henrique Ferreira,Feminino,1983-04-22,2022-02-25,2023-11-23,Desligado,Voluntário,7,1,10,10
15,MAT00015,Julia Aparecida,Feminino,1995-09-24,2025-02-13,,Ativo,,2,2,32,3
16,MAT00016,Sra. Zoe Campos,Feminino,1981-05-21,2023-03-09,2025-05-11,Desligado,Involuntário,2,2,72,4
17,MAT00017,Anna Liz Novaes,Feminino,2002-04-27,2021-08-21,,Ativo,,8,5,5,13
18,MAT00018,Luiz Miguel Oliveira,Masculino,1980-05-03,2021-07-16,,Ativo,,6,5,28,15
19,MAT00019,Bernardo Aparecida,Masculino,1985-04-21,2024-05-12,2025-04-22,Desligado,Involuntário,1,2,51,15
20,MAT00020,Heloísa Vargas,Feminino,1976-03-09,2025-03-18,,Ativo,,2,1,18,4
21,MAT00021,Bruno da Conceição,Feminino,1971-05-24,2024-04-18,,Ativo,,5,5,75,7
22,MAT00022,Mateus da Mota,Feminino,1980-06-08,2024-07-18,,Ativo,,1,3,18,9
23,MAT00023,Maria Clara Castro,Feminino,2000-01-28,2023-07-15,,Ativo,,6,4,15,3
24,MAT00024,Dr. Gustavo Henrique Rios,Feminino,1995-11-14,2025-01-14,2025-05-16,Desligado,Voluntário,1,1,50,7
25,MAT00025,Brayan Pereira,Feminino,1976-09-09,2024-09-06,,Ativo,,3,7,71,14
26,MAT00026,Eloá Nascimento,Feminino,1998-11-18,2018-02-17,2021-05-14,Desligado,Voluntário,5,4,44,2
27,MAT00027,Srta. Elisa Martins,Masculino,1978-03-15,2021-04-17,,Ativo,,7,3,1,12
28,MAT00028,Júlia Porto,Feminino,1973-03-17,2020-12-14,,Ativo,,6,2,14,14
29,MAT00029,Dra. Hellena Rodrigues,Feminino,1986-11-17,2025-01-05,,Ativo,,6,6,78,4
30,MAT00030,Sr. Ian Andrade,Masculino,1982-03-18,2019-09-19,,Ativo,,2,2,68,15
31,MAT00031,Dr. João Felipe Azevedo,Feminino,1967-06-16,2018-01-03,,Ativo,,1,2,3,2
32,MAT00032,Levi Cunha,Feminino,1986-04-02,2022-01-26,,Ativo,,1,2,31,15
33,MAT00033,Sara Gonçalves,Masculino,2000-02-24,2024-05-12,,Ativo,,3,5,63,14
34,MAT00034,Natália Casa Grande,Feminino,1971-03-05,2018-10-11,,Ativo,,8,3,61,9
35,MAT00035,Davi Miguel da Cruz,Feminino,1989-09-28,2019-11-08,,Ativo,,2,1,78,7
36,MAT00036,Dra. Zoe da Luz,Feminino,1971-12-23,2020-05-17,,Ativo,,1,2,26,12
37,MAT00037,Dra. Mariane Pacheco,Feminino,1980-11-21,2021-06-30,,Ativo,,1,2,48,8
38,MAT00038,Maria Cecília Câmara,Masculino,1977-02-08,2023-10-21,,Ativo,,5,6,29,2
39,MAT00039,Thomas Monteiro,Feminino,2004-10-18,2021-10-16,,Ativo,,2,3,30,10
40,MAT00040,Benicio Camargo,Feminino,2005-02-23,2020-06-21,,Ativo,,1,3,8,4
41,MAT00041,Emanuel Vieira,Feminino,2003-06-03,2018-10-04,,Ativo,,1,2,66,4
42,MAT00042,Mariana Peixoto,Feminino,1974-04-18,2021-02-14,,Ativo,,3,3,17,12
43,MAT00043,Matheus Garcia,Feminino,1969-08-08,2024-05-27,,Ativo,,5,4,61,13
44,MAT00044,Nina Moura,Masculino,1993-02-04,2022-07-26,,Ativo,,2,1,56,6
45,MAT00045,Yuri Albuquerque,Feminino,1979-08-28,2022-10-01,,Ativo,,2,3,7,11
46,MAT00046,Bruna Rodrigues,Masculino,1999-01-13,2025-04-30,2025-10-23,Desligado,Involuntário,3,3,14,4
47,MAT00047,Juliana Vargas,Masculino,1993-09-15,2020-02-24,,Ativo,,4,3,18,7
48,MAT00048,Manuela Camargo,Masculino,1988-08-08,2020-01-22,,Ativo,,7,4,10,8
49,MAT00049,Pedro Henrique Castro,Masculino,1999-01-21,2024-03-04,,Ativo,,1,1,70,14
50,MAT00050,Agatha Silveira,Feminino,2000-04-06,2018-03-02,,Ativo,,1,1,53,8
51,MAT00051,Sra. Sarah Teixeira,Masculino,1992-07-02,2023-05-26,,Ativo,,1,2,22,7
